Date,Day,Usage
08/06/2020,MON,437345
07/06/2020,SUN,233226
06/06/2020,SAT,312406
05/06/2020,FRI,316534
04/06/2020,THU,309143
03/06/2020,WED,308297
02/06/2020,TUE,313565
01/06/2020,MON,307344
31/05/2020,SUN,150442
30/05/2020,SAT,208616
29/05/2020,FRI,185474
28/05/2020,THU,178029
27/05/2020,WED,174107
26/05/2020,TUE,172623
25/05/2020,MON,95418
24/05/2020,SUN,70458
23/05/2020,SAT,97577
22/05/2020,FRI,145544
21/05/2020,THU,140576
20/05/2020,WED,141747
19/05/2020,TUE,138530
18/05/2020,MON,136573
17/05/2020,SUN,53202
16/05/2020,SAT,76000
15/05/2020,FRI,125644
14/05/2020,THU,121464
13/05/2020,WED,120137
12/05/2020,TUE,118933
11/05/2020,MON,116504
10/05/2020,SUN,44317
09/05/2020,SAT,65515
08/05/2020,FRI,70748
07/05/2020,THU,114688
06/05/2020,WED,113459
05/05/2020,TUE,112364
04/05/2020,MON,112265
03/05/2020,SUN,42535
02/05/2020,SAT,65236
01/05/2020,FRI,110915
30/04/2020,THU,107518
29/04/2020,WED,108600
28/04/2020,TUE,103839
27/04/2020,MON,109445
26/04/2020,SUN,44672
25/04/2020,SAT,64398
24/04/2020,FRI,110376
23/04/2020,THU,109980
